Madonna,Michael Jackson,Drake,Rihanna,Lady Gaga
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,1,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,8,11
2,2,13,9,11
2,2,13,9,11
2,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
3,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,13,9,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,14,10,11
4,2,15,10,11
4,2,15,10,11
4,2,15,10,11
4,2,15,10,11
4,2,15,10,11
4,2,15,11,11
4,2,15,11,11
4,2,15,11,11
4,2,15,11,11
4,2,15,11,11
4,2,15,11,12
4,2,15,12,12
4,2,15,12,12
4,2,15,12,12
4,2,15,12,12
4,2,18,12,12
4,2,18,12,12
4,2,18,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,12,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
4,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
5,2,20,13,12
